stock_number,vin,year,make,model,trim,body_style,selling_price,mileage,city_mpg,highway_mpg,drivetrain,exterior_color,features,photo_url,vdp_url
BW4123,5G167BKXJBG2FLTBC,2018,Honda,CR-V,EX,SUV,11300,68117,27,32,AWD,Cavalry Blue,Heated steering wheel|Tow package|Remote start,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4124,6S2S9X3C8SM5NH717,2020,Jeep,Grand Cherokee,Limited,SUV,20100,61877,19,26,4WD,Magnetic Gray,Sunroof|Android Auto|Adaptive cruise,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4125,XU4BZLH0PEL62HG32,2025,Jeep,Wrangler Unlimited,Sahara,SUV,43000,14475,19,24,4WD,Ruby Flare,Android Auto|Clean title|Heated seats,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4126,LCPH5CZ69CN7DVFLE,2020,Toyota,Camry,SE,Sedan,11900,72362,28,39,FWD,Ruby Flare,Android Auto|Heated seats|Backup camera|One owner|Sunroof,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4127,S8DZR26FSCA31F5ML,2019,Honda,Pilot,EX-L,SUV,16000,97561,19,26,AWD,Cavalry Blue,Apple CarPlay|Tow package|Android Auto|One owner,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4128,FBZEJS7KXM8HJA1F8,2024,Dodge,Charger,SXT,Sedan,25700,23223,18,27,AWD,Magnetic Gray,One owner|Heated steering wheel|Blind-spot monitor|Tow package|Clean title|Heated seats,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4129,WMWABYM6GS7L97HEJ,2022,GMC,Terrain,SLE,SUV,18000,39975,24,29,AWD,Midnight Black,Heated steering wheel|Tow package|Backup camera,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4130,K1A5HGRX5E1U55WT5,2024,Jeep,Gladiator,Sport,Truck,32700,27405,17,22,4WD,Sandstone,Sunroof|Backup camera|Blind-spot monitor|Apple CarPlay|Remote start|One owner,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4131,2RXLGR1JY2PW1TZ5S,2018,Ram,ProMaster 1500,Base,Van,12900,79753,17,22,FWD,Ruby Flare,Tow package|Backup camera|Heated seats|Android Auto,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4132,18DWC9YW3R9V9ZZ1R,2020,Ford,Explorer,XLT,SUV,17500,82538,20,27,4WD,Lunar Rock,Adaptive cruise|Tow package|Clean title,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4133,1ZBGSPM827L49N0BF,2023,Hyundai,Santa Fe,SEL,SUV,24300,44176,20,28,AWD,Super White,Remote start|Android Auto|Adaptive cruise,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4134,G3SXWAGEYK63GGN8Y,2025,Chrysler,300,Touring,Sedan,34100,15424,18,27,AWD,Midnight Black,Remote start|Clean title|Blind-spot monitor|Android Auto,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4135,4JFB64E58D57ZGD3M,2025,Nissan,Rogue,SV,SUV,26000,15926,28,35,AWD,Super White,One owner|Remote start|Backup camera|Tow package|Android Auto|Sunroof,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4136,WT4GR0E3FTX4WRM3T,2023,Jeep,Grand Cherokee,Limited,SUV,29700,41187,19,26,4WD,Sandstone,Tow package|Heated steering wheel|Backup camera,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4137,P5LZWTWHSANYXHY24,2025,Ram,2500,Tradesman,Truck,48900,14171,15,20,4WD,Oxford White,Heated steering wheel|Adaptive cruise|Remote start|Blind-spot monitor|One owner|Sunroof,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4138,1ZT7A036CBVDHY4T1,2023,Dodge,Durango,GT,SUV,30400,36398,18,25,AWD,Magnetic Gray,Clean title|Backup camera|Heated seats|Android Auto|Tow package,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4139,6GDVJG3RHEGE1CJ5B,2019,Hyundai,Elantra,SEL,Sedan,8600,65911,32,41,FWD,Magnetic Gray,Adaptive cruise|Blind-spot monitor|Tow package|Sunroof|Android Auto,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
